eval_havan-fm_trial-0,eval_havan-fm_trial-1,eval_havan-fm_trial-2,eval_havan-fm_trial-3,eval_havan-fm_trial-4,eval_havan-fm_trial-5,eval_havan-fm_trial-6,eval_havan-fm_trial-7,eval_havan-fm_trial-8,eval_havan-fm_trial-9,eval_havan-fm_trial-10,eval_havan-fm_trial-11,eval_havan-fm_trial-12,eval_havan-fm_trial-13,eval_havan-fm_trial-14,eval_havan-fm_trial-15,eval_havan-fm_trial-16,eval_havan-fm_trial-17,eval_havan-fm_trial-18,eval_havan-fm_trial-19,eval_mxl_trial-0,eval_mxl_trial-1,eval_mxl_trial-2,eval_mxl_trial-3,eval_mxl_trial-4,eval_mxl_trial-5,eval_mxl_trial-6,eval_mxl_trial-7,eval_mxl_trial-8,eval_mxl_trial-9,eval_mxl_trial-10,eval_mxl_trial-11,eval_mxl_trial-12,eval_mxl_trial-13,eval_mxl_trial-14,eval_mxl_trial-15,eval_mxl_trial-16,eval_mxl_trial-17,eval_mxl_trial-18,eval_mxl_trial-19,train_havan-fm_trial-0,train_havan-fm_trial-1,train_havan-fm_trial-2,train_havan-fm_trial-3,train_havan-fm_trial-4,train_havan-fm_trial-5,train_havan-fm_trial-6,train_havan-fm_trial-7,train_havan-fm_trial-8,train_havan-fm_trial-9,train_havan-fm_trial-10,train_havan-fm_trial-11,train_havan-fm_trial-12,train_havan-fm_trial-13,train_havan-fm_trial-14,train_havan-fm_trial-15,train_havan-fm_trial-16,train_havan-fm_trial-17,train_havan-fm_trial-18,train_havan-fm_trial-19,train_mxl_trial-0,train_mxl_trial-1,train_mxl_trial-2,train_mxl_trial-3,train_mxl_trial-4,train_mxl_trial-5,train_mxl_trial-6,train_mxl_trial-7,train_mxl_trial-8,train_mxl_trial-9,train_mxl_trial-10,train_mxl_trial-11,train_mxl_trial-12,train_mxl_trial-13,train_mxl_trial-14,train_mxl_trial-15,train_mxl_trial-16,train_mxl_trial-17,train_mxl_trial-18,train_mxl_trial-19
12050.719970703125,11592.522216796875,12075.603515625,11814.498962402344,11733.130615234375,12415.124145507812,11817.520141601562,11745.818176269531,11741.123291015625,11845.737426757812,11746.130126953125,12046.602294921875,11725.899658203125,11918.607299804688,11832.937683105469,11590.101928710938,12161.4169921875,11739.790405273438,11786.80859375,11983.487060546875,13494.587221763952,13480.641568340263,13552.602631849597,13539.986724671486,13455.15855431911,13495.331497942414,13455.574383455121,13438.499968706583,13433.299080092143,13522.573733162844,13462.226072021955,13535.203973097832,13452.080006138403,13467.358373527823,13430.048456391112,13456.909641686147,13472.786113827076,13480.715493300802,13509.85449453627,13565.942960846492,49698.21105957031,49364.45947265625,49985.26501464844,48863.617431640625,49956.606201171875,51243.47998046875,49335.04675292969,50261.23010253906,49862.841796875,51012.75061035156,49819.140380859375,49822.13037109375,49228.762451171875,50021.240966796875,50035.927490234375,50004.59814453125,50755.353759765625,49912.89453125,49147.24035644531,50906.29150390625,54110.77118321583,54092.53872487464,53989.1671875929,53940.65574065679,54100.15764577911,54051.265280632775,53948.25326570163,54139.36152237239,54020.29612726716,54087.99594467619,54094.9047457187,54026.47187503964,54051.314552973796,54003.26602811133,54055.79940188692,54084.56498205951,54133.54969646012,53998.02899757436,54048.99523286644,54136.884269703914
11770.997802734375,11388.351196289062,11739.07080078125,11700.823608398438,11608.443603515625,12196.207641601562,11630.178833007812,11594.245483398438,11653.539916992188,11583.384033203125,11581.3818359375,11743.6181640625,11656.947265625,11731.393188476562,11617.786010742188,11477.809997558594,12032.914306640625,11514.051391601562,11648.413024902344,11937.349731445312,11832.151778369,11800.360127002554,11968.503915456535,11893.094711012545,11769.576888082,11819.551920934566,11733.513668344023,11713.830271424678,11749.846829427155,11880.020777327576,11755.32810392888,11911.73315665654,11729.252949027821,11767.171331689135,11715.213811308766,11753.165584812932,11797.533288177165,11795.841087148161,11894.432069201277,11988.784652776709,47907.534912109375,47219.21435546875,47587.82336425781,47071.5986328125,47721.24658203125,49744.52331542969,47359.120849609375,48554.8271484375,47633.23474121094,47728.574951171875,47881.890625,48294.68054199219,47415.6884765625,48003.59851074219,47881.102783203125,47611.182373046875,49543.638916015625,47467.70910644531,47180.99609375,48240.37048339844,47553.74838424593,47620.350631459245,47449.25968085995,47043.8867893265,47618.0651067512,47387.96445100014,47139.71900354542,47737.10383854997,47510.79507535057,47591.15307538687,47603.7061703239,47462.71961192967,47422.01987028307,47301.87362688393,47526.807043618464,47675.57289232287,47839.38110848816,47447.60917601125,47491.66432602608,47708.465749461626
11642.18505859375,11320.157836914062,11678.012939453125,11698.260192871094,11571.279174804688,11962.291442871094,11575.801086425781,11501.173767089844,11584.623107910156,11496.060302734375,11530.74560546875,11650.197021484375,11578.328002929688,11609.757995605469,11558.056396484375,11407.131958007812,11885.615478515625,11458.873168945312,11607.321716308594,11939.474975585938,11318.387838482935,11252.18190040066,11434.038826911063,11363.726818809002,11234.935809624552,11264.339003545487,11202.891050632727,11132.795757777887,11263.751802422017,11333.90718641811,11187.090296373197,11344.973103900944,11215.961037789035,11256.750160250725,11195.7781660006,11203.473269101496,11222.48990971967,11228.562722618417,11378.774144311508,11454.86607199224,47134.56359863281,46558.92492675781,47135.713134765625,46775.47082519531,47490.181884765625,48870.713623046875,47142.809814453125,47967.38818359375,47260.0869140625,47039.70751953125,47387.210693359375,47512.53039550781,47129.333740234375,47369.59045410156,47531.752197265625,47183.31298828125,49000.58679199219,47075.398681640625,47085.625244140625,47782.56591796875,45386.260358598374,45478.01772426133,45368.30085257556,44880.45982153881,45426.169311346035,45203.27658417423,44993.74776935057,45611.49361963892,45479.76141224805,45386.04050364836,45404.63620896749,45379.524606371444,45254.182792019405,45249.88818321667,45347.917592353784,45568.131760468794,45670.15551517984,45346.47096853625,45415.495083202346,45565.911571839504
11609.115844726562,11305.563415527344,11640.359375,11649.470703125,11540.577331542969,11760.283935546875,11553.162536621094,11453.368469238281,11514.02587890625,11479.341674804688,11468.1513671875,11576.767456054688,11527.525207519531,11537.37548828125,11494.645263671875,11362.164184570312,11754.054565429688,11418.604736328125,11610.750793457031,11917.104858398438,11135.440098154566,11000.871737599307,11171.151059701124,11164.717598137997,10997.155141671754,11032.796788140393,10956.703477462712,10850.06034872594,11043.075968261386,11108.924132958567,10949.376748140876,11060.643753048698,11019.074047051025,11025.925075534386,10981.017270121616,11001.35371882905,11024.33132211461,10945.501769231572,11151.976962164394,11250.568962426187,46828.22607421875,46395.48681640625,46897.3447265625,46685.69860839844,47422.6669921875,48032.63049316406,46996.150390625,47835.55126953125,46959.876708984375,46902.00634765625,47137.178466796875,47260.7080078125,46988.89794921875,47082.75927734375,47318.97595214844,46964.27844238281,48445.70959472656,46852.7470703125,46962.254638671875,47726.06530761719,44511.92784317526,44606.117502092835,44455.89681023458,44016.94401828472,44569.04188014707,44300.963280388445,44122.74430599006,44732.76220871617,44548.00509962054,44545.325026800456,44536.30975111409,44518.32921814285,44400.98672109908,44365.8178490344,44472.916097211375,44731.26988719452,44813.58943990324,44407.770296482064,44536.28722796007,44671.15087876051
11620.690979003906,11289.565551757812,11621.432373046875,11593.512878417969,11491.132934570312,11636.633422851562,11540.19384765625,11452.527465820312,11472.763793945312,11469.190673828125,11439.984008789062,11546.951171875,11465.763916015625,11472.928100585938,11442.898010253906,11364.924255371094,11644.4638671875,11409.108764648438,11586.7470703125,11930.817138671875,11125.508010831922,10992.256186949131,11163.77394403276,11151.485261027688,10993.209453348283,11019.963274417598,10949.922660298898,10842.540170284405,11035.97281131271,11099.942131436914,10939.13796684684,11047.887333621868,11010.477339797577,11018.295356150522,10976.411226787484,10985.13030081944,11002.355354738422,10934.81883997436,11143.309914676754,11239.37467316027,46657.1123046875,46233.48864746094,46807.14758300781,46457.070556640625,47256.92687988281,47350.6669921875,46920.1259765625,47645.6552734375,46873.515380859375,46745.4814453125,47103.5703125,47034.838134765625,46839.709716796875,46893.24951171875,47099.22058105469,46809.94677734375,47999.53210449219,46694.648681640625,46963.31164550781,47664.77307128906,44473.21914725144,44563.35226477288,44422.07146496259,43971.362770078165,44528.25143243659,44253.75431308412,44081.599024545954,44691.02985447475,44506.77889502316,44504.46018973144,44493.67805876763,44470.56271681768,44361.897216557234,44331.62809953265,44427.370738239566,44680.85379238599,44758.561975484496,44365.90655629664,44499.25474142659,44632.842369666294
11550.964477539062,11276.889404296875,11584.459594726562,11581.75244140625,11442.60693359375,11596.136108398438,11489.696044921875,11387.423706054688,11464.381469726562,11438.478271484375,11362.558471679688,11497.588256835938,11423.46826171875,11446.419250488281,11447.566162109375,11349.980590820312,11558.192138671875,11437.524047851562,11554.67431640625,11905.393432617188,11122.830652170134,10989.983139979078,11164.839838938378,11143.126145906888,10991.384189935485,11015.17413758732,10952.41872523453,10837.646256120992,11035.865741800528,11100.4134853639,10931.786785674218,11048.887886861297,11012.583115806217,11018.116200010278,10975.58999107029,10979.00499707611,10989.467210386512,10932.359851303194,11142.556237471194,11232.625681357273,46596.938720703125,46111.15246582031,46686.46008300781,46381.39306640625,47140.46960449219,46982.466552734375,46748.761474609375,47540.24462890625,46741.008544921875,46669.044677734375,46904.19348144531,46917.027587890625,46653.09326171875,46726.53332519531,47030.31823730469,46796.11364746094,47416.84289550781,46534.114501953125,46830.51257324219,47623.840087890625,44457.423128880975,44546.262607272285,44407.3722412808,43950.22778465669,44510.08304158201,44231.836891475396,44061.81889620026,44675.21529878348,44491.50860410408,44486.21637997846,44475.72999467708,44453.03901647496,44342.332999276,44315.458328635505,44409.24368158788,44664.0167505686,44739.817723980654,44350.51611206881,44483.88258863386,44616.79200218303
11526.606384277344,11243.8193359375,11618.758911132812,11544.447875976562,11427.264465332031,11529.448974609375,11451.446228027344,11402.923706054688,11425.828674316406,11426.334594726562,11332.822998046875,11463.159057617188,11433.25439453125,11438.463806152344,11436.217468261719,11327.037841796875,11521.301147460938,11313.022705078125,11573.218933105469,11908.912475585938,11121.517085231422,10988.70216105092,11162.492556420095,11143.740745311585,10989.655116496799,11013.806534762167,10950.091965218027,10836.672237140961,11034.310854836083,11098.733532596565,10931.387794243452,11046.750346623874,11010.631375729983,11016.209086354862,10975.340221451062,10976.85872498924,10988.108770145647,10930.429751865788,11141.209439555429,11232.552120890268,46410.97424316406,46033.03723144531,46625.81555175781,46242.821044921875,47064.153076171875,46743.546630859375,46592.50451660156,47488.9365234375,46693.64794921875,46514.12585449219,46774.16650390625,46692.54016113281,46593.28308105469,46671.598388671875,46937.348876953125,46705.222412109375,47166.68225097656,46491.19189453125,46708.5244140625,47605.451171875,44454.81484129436,44543.54373771633,44404.76348235557,43947.46938951563,44508.56351528918,44228.821862355224,44059.007530652336,44672.85903495956,44489.470035352904,44484.712837496,44473.86146617297,44450.84343640395,44340.81545329665,44313.04851214989,44406.65472626499,44661.02114019869,44737.93848813439,44346.869706860176,44480.97501338001,44614.01083496779
11516.821350097656,11228.009704589844,11541.781372070312,11520.992614746094,11407.209228515625,11536.392333984375,11442.977844238281,11371.81201171875,11424.884521484375,11371.93115234375,11321.761108398438,11502.524353027344,11387.197998046875,11420.009155273438,11410.652587890625,11340.898620605469,11493.28515625,11283.0078125,11504.594787597656,11877.623046875,11121.75256435996,10988.064185058622,11162.453294954663,11143.927524083303,10988.124338741563,11013.726768460368,10949.751825494692,10835.52917191374,11034.137645745344,11098.249697098694,10930.803975570827,11045.88015754245,11010.490717606881,11016.119310146214,10974.699501901738,10976.512639231358,10987.041186044666,10929.98530856218,11141.23471743596,11232.616606674368,46330.437744140625,45922.50549316406,46527.4326171875,46198.334228515625,46899.821044921875,46687.50720214844,46560.482177734375,47360.90576171875,46536.501708984375,46417.23291015625,46760.87646484375,46620.54650878906,46408.224609375,46616.21667480469,46864.633544921875,46695.74609375,47079.61975097656,46337.54638671875,46727.67565917969,47474.29821777344,44454.262151939176,44543.02832675555,44404.26481836859,43946.904743214734,44507.98924018879,44228.16131620389,44058.500635980585,44672.35084423634,44488.15224386985,44484.254926815425,44473.41421261941,44449.92930867152,44340.46532365243,44312.579880257894,44406.13032566489,44660.37428930398,44737.015308887116,44346.16217065822,44480.2614188257,44613.51967879242
11476.326904296875,11215.70068359375,11550.388305664062,11496.919067382812,11398.058288574219,11528.651733398438,11417.390197753906,11346.309326171875,11385.886840820312,11360.879760742188,11309.946899414062,11485.506652832031,11398.931274414062,11400.656127929688,11399.175537109375,11307.974609375,11483.114868164062,11301.717651367188,11497.656311035156,11904.61083984375,11121.892277465504,10987.272449664017,11162.51940087806,11144.375360851143,10987.597252824311,11013.818644162173,10949.438005017346,10834.019136887211,11034.03196322718,11098.257470867931,10929.823295168777,11046.104726694,11010.162850585897,11015.999704950278,10973.661718555,10975.861902638175,10986.72082698203,10929.51886494305,11141.431956730099,11232.725079589956,46166.84069824219,45822.12536621094,46493.095458984375,46019.40771484375,46781.26037597656,46685.248046875,46403.847900390625,47172.30603027344,46454.79187011719,46334.818603515625,46592.401611328125,46496.68493652344,46430.3544921875,46578.25085449219,46813.06701660156,46556.01220703125,46954.872802734375,46225.524169921875,46566.67858886719,47502.5654296875,44453.98603749878,44542.63978915477,44404.02926102062,43946.49179217126,44507.789510095725,44227.662357031375,44058.224284517775,44671.97216693826,44487.85493368935,44484.02344112173,44473.07809560718,44449.6696615411,44340.21763217525,44312.30088002104,44405.701377279125,44659.859269496636,44736.770833019706,44345.66967844659,44480.0106861095,44613.21060562766
11471.390319824219,11182.845092773438,11540.09716796875,11500.418273925781,11365.103515625,11515.015686035156,11402.833129882812,11334.663757324219,11405.421569824219,11343.128784179688,11295.757629394531,11441.462768554688,11377.640747070312,11379.593505859375,11409.935119628906,11309.672729492188,11494.874755859375,11291.406005859375,11486.071166992188,11896.274169921875,11121.788231991673,10987.133910934634,11162.68085489748,11144.5020835006,10987.451134761886,11013.887449747337,10949.256833320851,10833.951135700005,11033.761430684664,11098.300210968446,10929.73786411334,11046.30570788149,11010.005711430891,11015.883193210571,10973.37131562633,10975.832449046418,10986.696824402661,10929.45835693181,11141.655194207531,11232.758735133928,46058.86926269531,45804.903564453125,46444.313232421875,46039.059814453125,46817.35314941406,46554.38781738281,46326.9306640625,47127.626953125,46393.830322265625,46247.33447265625,46580.00817871094,46408.03894042969,46318.85400390625,46442.861572265625,46664.90283203125,46574.734619140625,46942.54577636719,46307.452880859375,46542.6689453125,47469.00341796875,44453.86527224781,44542.57778703861,44403.92583635293,43946.43838511241,44507.77612651782,44227.607705278126,44058.11274886248,44671.94806303667,44487.650513990346,44484.00769293298,44473.05437867461,44449.65540064972,44340.193813658676,44312.23349370182,44405.65959007834,44659.838207164095,44736.75396821423,44345.56405584172,44479.88704167851,44613.129803188436
