eval_havan-fm_trial-0,eval_havan-fm_trial-1,eval_havan-fm_trial-2,eval_havan-fm_trial-3,eval_havan-fm_trial-4,eval_havan-fm_trial-5,eval_havan-fm_trial-6,eval_havan-fm_trial-7,eval_havan-fm_trial-8,eval_havan-fm_trial-9,eval_havan-fm_trial-10,eval_havan-fm_trial-11,eval_havan-fm_trial-12,eval_havan-fm_trial-13,eval_havan-fm_trial-14,eval_havan-fm_trial-15,eval_havan-fm_trial-16,eval_havan-fm_trial-17,eval_havan-fm_trial-18,eval_havan-fm_trial-19,eval_mxl_trial-0,eval_mxl_trial-1,eval_mxl_trial-2,eval_mxl_trial-3,eval_mxl_trial-4,eval_mxl_trial-5,eval_mxl_trial-6,eval_mxl_trial-7,eval_mxl_trial-8,eval_mxl_trial-9,eval_mxl_trial-10,eval_mxl_trial-11,eval_mxl_trial-12,eval_mxl_trial-13,eval_mxl_trial-14,eval_mxl_trial-15,eval_mxl_trial-16,eval_mxl_trial-17,eval_mxl_trial-18,eval_mxl_trial-19,train_havan-fm_trial-0,train_havan-fm_trial-1,train_havan-fm_trial-2,train_havan-fm_trial-3,train_havan-fm_trial-4,train_havan-fm_trial-5,train_havan-fm_trial-6,train_havan-fm_trial-7,train_havan-fm_trial-8,train_havan-fm_trial-9,train_havan-fm_trial-10,train_havan-fm_trial-11,train_havan-fm_trial-12,train_havan-fm_trial-13,train_havan-fm_trial-14,train_havan-fm_trial-15,train_havan-fm_trial-16,train_havan-fm_trial-17,train_havan-fm_trial-18,train_havan-fm_trial-19,train_mxl_trial-0,train_mxl_trial-1,train_mxl_trial-2,train_mxl_trial-3,train_mxl_trial-4,train_mxl_trial-5,train_mxl_trial-6,train_mxl_trial-7,train_mxl_trial-8,train_mxl_trial-9,train_mxl_trial-10,train_mxl_trial-11,train_mxl_trial-12,train_mxl_trial-13,train_mxl_trial-14,train_mxl_trial-15,train_mxl_trial-16,train_mxl_trial-17,train_mxl_trial-18,train_mxl_trial-19
14863.57064819336,14977.962524414062,14961.239776611328,15065.294036865234,15119.454452514648,15252.04190826416,15154.128448486328,15435.691329956055,15150.461410522461,15217.387405395508,15394.93685913086,14993.950149536133,15230.5609664917,15306.661018371582,15430.892135620117,15204.096744537354,15765.847038269043,14819.661979675293,15335.102188110352,15866.875885009766,17318.59518124123,17340.602325203075,17273.694328356676,17388.121184099313,17361.890926605513,17355.8043479008,17391.321527256427,17388.21367034442,17410.657147074744,17380.99688897447,17473.538805244876,17291.337184658463,17398.86423669862,17388.161103322454,17353.888752110717,17375.80058409411,17336.955128724832,17327.51001082338,17375.7491781061,17381.03539517076,63441.04748535156,62863.18914794922,63857.47888183594,62109.883850097656,63494.37365722656,63590.543701171875,63498.00021362305,63805.23907470703,63288.775939941406,65460.55661010742,63778.547943115234,63195.183654785156,63642.39288330078,64142.718322753906,63671.7532043457,63681.80294799805,64803.60317993164,63088.78973388672,64315.90643310547,64672.08526611328,69591.23785712084,69380.18188115091,69507.44664095878,69476.96204380112,69480.04343767569,69320.9425540946,69399.78576689544,69424.93706770311,69400.42273044752,69508.01717813846,69645.62293995314,69464.94351115332,69475.67686707593,69432.17342636763,69375.41198430449,69308.36083265259,69461.46420214894,69494.15286291715,69513.24015382712,69468.20347245292
14660.154479980469,14779.491806030273,14687.701683044434,14997.607955932617,15015.665069580078,15178.89289855957,15085.481437683105,15234.88442993164,15004.673374176025,14929.015991210938,15283.597385406494,14906.844383239746,15109.141845703125,15029.736846923828,15020.531929016113,14849.167819976807,15272.92961883545,14748.260368347168,14997.359363555908,15254.370105743408,15138.79594358573,15184.557307857529,15055.231237975073,15301.723405822833,15209.192019836382,15245.130754650712,15315.502401147742,15322.760413898057,15339.677032904765,15255.474546947038,15472.294187663601,15072.683810624054,15289.853600030929,15242.348859268252,15189.972273608993,15268.207590205642,15163.090976317137,15124.507122341081,15283.495259016052,15293.070682548218,60846.4921875,59776.54699707031,60980.72189331055,60638.22497558594,60913.520935058594,61022.6686706543,61214.096923828125,61529.90026855469,60637.978576660156,60740.24725341797,61388.04959106445,60927.091400146484,61046.55715942383,61156.374282836914,61352.08279418945,60561.24447631836,62834.5615234375,60504.069396972656,61137.64392089844,61813.90853881836,61241.84390058863,60744.25314036996,61088.103356798936,61126.648200250034,60957.92059626923,60623.10378836374,60866.4717658522,60920.1536550845,60792.98419109172,60873.59072161082,61303.581280781094,61042.164384822565,60919.85533717465,60885.809856891356,60847.11046640766,60543.9759439075,60847.8126742087,60964.76247011777,61142.97812692276,60890.19267090288
14696.508239746094,14713.761444091797,14616.133773803711,14938.227584838867,14957.031631469727,15042.720703125,15044.561508178711,15139.447151184082,14897.977020263672,14898.80290222168,15137.033103942871,14732.213165283203,15013.056644439697,14934.504783630371,14942.329620361328,14776.569877624512,15097.938270568848,14680.066352844238,14931.71713256836,15236.16257095337,14443.120634370405,14511.794597353528,14356.164009239536,14628.266524783581,14498.380929599669,14602.235966921971,14620.104592459695,14695.041826377408,14686.8080743588,14595.094394580758,14783.555263546963,14343.956071487417,14590.553297405717,14514.621949245726,14470.383007556109,14607.244327963612,14461.078356135107,14396.918763714471,14626.867463051465,14631.690671078928,60389.56854248047,59239.2373046875,60436.1091003418,60319.521057128906,60671.3522644043,60667.95788574219,60942.94012451172,60751.528076171875,60163.937896728516,60063.646545410156,60861.88562011719,60539.208435058594,60547.68002319336,60382.863342285156,60783.990966796875,59775.94738769531,61456.34982299805,60237.06588745117,60724.971282958984,61301.141510009766,58529.677357151915,57974.16245654244,58341.64178298047,58501.52223842588,58268.007407110454,57927.18160888007,58126.853440087994,58278.16334805016,58145.531585797726,58170.43435427605,58452.04422643443,58271.25254262758,58091.63113103685,58162.40126393987,58236.46555893871,57816.16718653418,58073.80795696775,58222.53964027876,58514.91929197966,58066.32487369238
14647.481178283691,14700.160049438477,14583.5615234375,14874.113914489746,14910.043632507324,14974.285034179688,14979.124710083008,15063.013122558594,14887.152862548828,14840.296669006348,15127.743618011475,14661.658340454102,14932.638187408447,14883.863704681396,14848.605102539062,14745.865707397461,14980.319236755371,14660.989311218262,14882.306400299072,15171.701347351074,14157.98675846275,14228.965654660378,14077.288856650444,14308.678574581863,14159.793888657456,14321.391764094767,14272.919611903017,14422.351888036843,14367.138245820599,14293.460407452632,14537.490214570673,14076.24486497787,14332.479373666243,14193.111829348585,14108.217104592273,14297.050604635733,14173.492267670234,14069.76445254872,14332.725037585224,14380.009341799443,60248.74377441406,59037.63195800781,60177.930419921875,60124.600997924805,60512.30828857422,60301.51611328125,60670.789123535156,60560.57653808594,59916.73318481445,60014.97766113281,60500.43649291992,60155.85009765625,60311.70251464844,60076.50273132324,60459.429260253906,59548.89442443848,60907.71017456055,60173.352935791016,60497.964599609375,61061.19903564453,57446.2530401965,56805.770589524276,57229.33175608849,57310.37880670598,57084.3671907144,56769.015889384944,56968.40928813828,57132.169999296166,56993.35727709482,57039.70459416357,57398.131474964684,57156.296031598584,56984.64303751823,56985.34536457549,57054.450905763515,56706.86334576888,56924.94927705545,57050.02167799523,57389.333142710304,56932.42720913055
14566.069534301758,14631.623306274414,14555.628295898438,14898.002716064453,14847.419044494629,14802.178024291992,14943.574821472168,15045.77426147461,14853.933261871338,14797.460479736328,15070.124336242676,14620.72885131836,14952.245170593262,14824.279724121094,14811.261604309082,14719.751914978027,14842.616592407227,14625.715896606445,14881.386169433594,15165.037609100342,14144.845175645845,14215.377250995669,14065.432241081366,14298.324151505141,14146.144822509643,14312.86521391182,14264.747625294283,14414.167379398,14359.15625750731,14286.738040261956,14520.8891993084,14054.130738840406,14315.64159607318,14176.529328828936,14093.688184007395,14289.140998655113,14159.690531089393,14057.104377433534,14321.022583837443,14369.872637019478,59927.529556274414,58896.012756347656,60100.444732666016,60019.28399658203,60328.48742675781,59620.12921142578,60550.805084228516,60259.64175415039,59788.68896484375,59869.709228515625,60389.66976928711,59998.224853515625,60081.72882080078,59883.125732421875,60336.96517944336,59234.143142700195,60385.67184448242,60054.21446228027,60340.78112792969,60967.719970703125,57396.576908412375,56741.36611259742,57168.6225840494,57260.51035809703,57032.154441074425,56716.31898292937,56922.860442699384,57087.46151135597,56941.110864786075,57001.12727328928,57343.21457991391,57096.949441876626,56926.68830721123,56933.02077941666,57007.3013691473,56653.30637325808,56875.023100722494,57001.076699538025,57341.70758832166,56870.09888399144
14541.83073425293,14621.325294494629,14569.179306030273,14805.325912475586,14831.66276550293,14791.753356933594,14878.165874481201,14987.987884521484,14858.334045410156,14777.513702392578,15020.07339477539,14582.046241760254,14897.655990600586,14841.607620239258,14739.34635925293,14728.774173736572,14756.85075378418,14573.969902038574,14936.134937286377,15174.630321502686,14137.818805783576,14208.712296140046,14053.839334516979,14293.678982918422,14141.680320396255,14306.48715890906,14260.894405395342,14409.99039746745,14357.677889159038,14285.526487938565,14516.154176323635,14039.49899052865,14312.514923176786,14170.037378548714,14091.348828310867,14290.455198920787,14150.414707349139,14048.071936554039,14318.183634736979,14364.06868291532,59755.212982177734,58709.607360839844,59994.726501464844,59858.956787109375,60207.07699584961,59362.0419921875,60393.01712036133,60104.52670288086,59678.942932128906,59725.7897644043,60167.717697143555,59865.49822998047,59946.75817871094,59789.257553100586,60049.743896484375,59185.944595336914,59934.81329345703,59809.73083496094,60346.83319091797,60875.99984741211,57374.500739628704,56715.07879822701,57144.57629899999,57241.81579317807,57010.94548505146,56694.53633101414,56903.982555923925,57069.07283934464,56919.89702547726,56981.45462086721,57316.32948502986,57072.88439591623,56899.55600846806,56912.00033447475,56987.97170761376,56627.67161500067,56851.58759137254,56980.01612799241,57323.20579208348,56842.35154084589
14484.900009155273,14594.203903198242,14533.333221435547,14811.210800170898,14786.010162353516,14770.29670715332,14876.811157226562,14922.885261535645,14799.240520477295,14716.577529907227,14991.046447753906,14546.271118164062,14992.905235290527,14824.874435424805,14680.912315368652,14711.940216064453,14730.335090637207,14609.33489227295,14779.344745635986,15171.554447174072,14137.014469683141,14208.766956582973,14054.613541514485,14295.010236718565,14139.653314920295,14309.967605311991,14262.07697220656,14411.826641571957,14358.315704591474,14285.236350933636,14515.878395524625,14038.120956846327,14311.26919878143,14167.399076950069,14085.874972561824,14290.014991476002,14150.01358414969,14048.89988651576,14316.517887810889,14364.46690557143,59500.16360473633,58552.31033325195,59931.621673583984,59744.94813537598,60066.47784423828,59232.83044433594,60196.309814453125,59983.78628540039,59471.4836730957,59590.90411376953,60101.216369628906,59742.49450683594,59817.36590576172,59712.34353637695,59826.405212402344,59075.4591217041,59866.330474853516,59715.00117492676,60182.17175292969,60790.807067871094,57372.22045545756,56710.87116156901,57141.465693679274,57238.63656081165,57006.712459158414,56690.89187172451,56900.99877242316,57065.929086093405,56915.860957198216,56978.5431329101,57314.43991371466,57070.46721861727,56897.090639112816,56908.32243500757,56984.67892575904,56625.086821355966,56848.73427021477,56976.162545488434,57319.55455403405,56838.884488094045
14496.202026367188,14603.435974121094,14551.552978515625,14779.271179199219,14837.679962158203,14791.13224029541,14864.427047729492,14920.531265258789,14765.466403961182,14696.288009643555,14943.153594970703,14505.671646118164,14931.249118804932,14787.488548278809,14689.362976074219,14676.874919891357,14712.965270996094,14517.319519042969,14723.341293334961,15158.229187011719,14136.569295915046,14208.376751534863,14053.837291447073,14293.824761901013,14139.221245763545,14308.274564809988,14260.742437766694,14410.928537593434,14357.288887922226,14284.660027909547,14516.910913037975,14037.260046398322,14311.523442941265,14167.429849053988,14086.56413166926,14289.87310383514,14149.852325901105,14048.008327254165,14316.34801975629,14364.48644273001,59395.06539916992,58522.890563964844,59752.8688659668,59701.717346191406,59886.03436279297,59214.44723510742,60109.27716064453,59787.405517578125,59403.69549560547,59370.487854003906,60000.44396972656,59466.183837890625,59765.68502807617,59578.26727294922,59708.364654541016,59085.38528442383,59743.58428955078,59629.830017089844,60025.713623046875,60792.388122558594,57371.65027558657,56710.00461569357,57140.4399029613,57237.352555165664,57005.45932505485,56689.69373719533,56900.01843164545,57064.97278402478,56914.96403513664,56977.784477490015,57313.57977157396,57069.516530950394,56896.330268880905,56907.62478608943,56983.24916164798,56624.33016447753,56848.16175228862,56975.19506468637,57318.78480941549,56837.87502514786
14472.705589294434,14606.84310913086,14530.185722351074,14747.2212600708,14729.10359954834,14768.037628173828,14789.634803771973,14912.190536499023,14730.173599243164,14643.855850219727,14921.345970153809,14485.68701171875,14876.225227355957,14739.769264221191,14679.974311828613,14670.795051574707,14682.231834411621,14457.045097351074,14715.352325439453,15146.7181930542,14135.94336879311,14207.803097724389,14052.250058548876,14293.48931322605,14138.946330701714,14307.882188178046,14260.377734643807,14410.845720772135,14356.985248801057,14284.498489647936,14516.939281732066,14036.674322704275,14311.978100389017,14167.385052244792,14086.593325657144,14290.108574699141,14149.63472304328,14047.453607531166,14316.273626594255,14364.695127308827,59283.49822998047,58411.9580078125,59772.734924316406,59562.13946533203,59748.1637878418,59113.230377197266,59870.42361450195,59813.83233642578,59320.27624511719,59221.17599487305,59857.01647949219,59384.89352416992,59596.28695678711,59442.66473388672,59541.38122558594,59029.67102050781,59560.98254394531,59569.507720947266,59905.38586425781,60637.66027832031,57371.30191611037,56709.31653061334,57139.97906880212,57237.007031855566,57005.045665812824,56689.36705710901,56899.780912106144,57064.683030998174,56914.573430937235,56977.56636278728,57313.51849950791,57069.165861077316,56895.92458548659,56907.17869091146,56982.9336757167,56623.98498723388,56847.71841155017,56974.80902275095,57318.38894480867,56837.32794140716
14460.488052368164,14573.304397583008,14493.519920349121,14733.267677307129,14697.373313903809,14777.605361938477,14790.019332885742,14856.460975646973,14710.719676971436,14641.290313720703,14873.76125717163,14458.734245300293,14813.304725646973,14721.427848815918,14593.281631469727,14647.22184753418,14656.979286193848,14471.814834594727,14713.495658874512,15151.162395477295,14135.9038318031,14207.667608184405,14052.021620910351,14293.330955804975,14138.818047633718,14307.843685418185,14260.290970833652,14411.038957416547,14357.152610840269,14284.428122805039,14516.993595662301,14036.618126603264,14312.045285086153,14167.413648173122,14086.622014837174,14290.164285217656,14149.591632377658,14047.174673045141,14316.276871373986,14364.506597430876,59184.234619140625,58348.7356262207,59656.767333984375,59510.112731933594,59664.863677978516,59189.05667114258,59773.93444824219,59689.15515136719,59094.97427368164,59135.66262817383,59727.030517578125,59258.50897216797,59404.945373535156,59394.884353637695,59453.642639160156,58817.97155761719,59566.41500854492,59410.322998046875,59752.73287963867,60638.4176940918,57371.27524017739,56709.25949314481,57139.953846149525,57236.78052346854,57004.8169469138,56689.149025579856,56899.58450444437,57064.50879299644,56914.390307148366,56977.426392011614,57313.51097780427,57069.14460838938,56895.898549848425,56907.054922803465,56982.718865824834,56623.96789862884,56847.64988343645,56974.6243670113,57318.26391066269,56837.297783756745
