eval_havan-fm_trial-0,eval_havan-fm_trial-1,eval_havan-fm_trial-2,eval_havan-fm_trial-3,eval_havan-fm_trial-4,eval_havan-fm_trial-5,eval_havan-fm_trial-6,eval_havan-fm_trial-7,eval_havan-fm_trial-8,eval_havan-fm_trial-9,eval_havan-fm_trial-10,eval_havan-fm_trial-11,eval_havan-fm_trial-12,eval_havan-fm_trial-13,eval_havan-fm_trial-14,eval_havan-fm_trial-15,eval_havan-fm_trial-16,eval_havan-fm_trial-17,eval_havan-fm_trial-18,eval_havan-fm_trial-19,eval_mxl_trial-0,eval_mxl_trial-1,eval_mxl_trial-2,eval_mxl_trial-3,eval_mxl_trial-4,eval_mxl_trial-5,eval_mxl_trial-6,eval_mxl_trial-7,eval_mxl_trial-8,eval_mxl_trial-9,eval_mxl_trial-10,eval_mxl_trial-11,eval_mxl_trial-12,eval_mxl_trial-13,eval_mxl_trial-14,eval_mxl_trial-15,eval_mxl_trial-16,eval_mxl_trial-17,eval_mxl_trial-18,eval_mxl_trial-19,train_havan-fm_trial-0,train_havan-fm_trial-1,train_havan-fm_trial-2,train_havan-fm_trial-3,train_havan-fm_trial-4,train_havan-fm_trial-5,train_havan-fm_trial-6,train_havan-fm_trial-7,train_havan-fm_trial-8,train_havan-fm_trial-9,train_havan-fm_trial-10,train_havan-fm_trial-11,train_havan-fm_trial-12,train_havan-fm_trial-13,train_havan-fm_trial-14,train_havan-fm_trial-15,train_havan-fm_trial-16,train_havan-fm_trial-17,train_havan-fm_trial-18,train_havan-fm_trial-19,train_mxl_trial-0,train_mxl_trial-1,train_mxl_trial-2,train_mxl_trial-3,train_mxl_trial-4,train_mxl_trial-5,train_mxl_trial-6,train_mxl_trial-7,train_mxl_trial-8,train_mxl_trial-9,train_mxl_trial-10,train_mxl_trial-11,train_mxl_trial-12,train_mxl_trial-13,train_mxl_trial-14,train_mxl_trial-15,train_mxl_trial-16,train_mxl_trial-17,train_mxl_trial-18,train_mxl_trial-19
16963.30224609375,16653.263916015625,16381.705810546875,16859.194091796875,16909.535888671875,16887.65283203125,16661.310913085938,17034.185546875,16804.27197265625,16721.942626953125,16649.7294921875,16809.623779296875,17183.180541992188,17069.644287109375,16890.345581054688,16684.269409179688,17396.933715820312,16720.363891601562,16875.425170898438,16795.521606445312,19322.044122069157,19339.6353931711,19230.335775579697,19348.758956169564,19271.39040653591,19268.483519618723,19243.211233852122,19292.54445396815,19314.945398742464,19296.771019907763,19214.939275396344,19256.691223538714,19301.95746992976,19316.475276999314,19275.781933575967,19263.837564036352,19318.184815480752,19328.876815848205,19407.911069268474,19248.03362962958,70570.85241699219,69285.28497314453,70478.08807373047,69304.80487060547,70853.4248046875,71029.82263183594,70991.68481445312,70812.4008178711,70394.30798339844,72537.46856689453,71317.16479492188,69966.18664550781,70971.56140136719,71272.55627441406,70425.41491699219,70731.48461914062,71099.88092041016,70159.89642333984,70703.72241210938,72344.39147949219,77229.38201502002,77155.48126013733,77171.43219348819,77357.82406094871,77189.65627079186,77214.11403273589,77220.85304581572,77051.0209879626,77157.37549790545,77209.69290507027,77331.83762323324,77065.63598861326,77270.53218702642,77091.69274070425,77179.32865083861,77237.18461269076,77169.2398735345,77196.2728526103,77213.26713339119,77277.22892627896
16487.555541992188,16526.597900390625,16304.092041015625,16637.8095703125,16540.355224609375,16815.894653320312,16458.192626953125,16675.718994140625,16651.423461914062,16511.23291015625,16544.992309570312,16617.53271484375,16866.801513671875,16622.747802734375,16730.963012695312,16363.261474609375,16885.845458984375,16642.872436523438,16904.195556640625,16725.313110351562,16991.754395258868,17073.303582681514,16774.162288539024,17064.757863567604,16891.859744065776,16898.655658494237,16830.51599257498,16894.270407962038,16978.870060452955,16951.68348842619,16783.4749435856,16834.800709077565,16959.397524507425,16956.379429680805,16895.92003071733,16889.48047012375,16929.114309662982,17016.766617474037,17178.977052086306,16866.30948265614,67823.50402832031,66412.24987792969,67355.09167480469,67566.56774902344,67581.4087524414,68178.72470092773,68402.44366455078,68200.16748046875,67720.57342529297,67875.88928222656,68246.71630859375,67459.11334228516,68715.35546875,68003.50231933594,67910.10235595703,67218.31518554688,68734.49780273438,67328.8041381836,67151.6410522461,68306.07092285156,67920.33045327148,67697.05943350587,67790.4564185626,68190.96315043225,67744.93445849794,67800.2293433121,67983.15658963638,67514.39558215247,67768.9963042808,67916.3636136086,68126.86306554063,67448.13557577893,67990.74901223046,67528.76557600361,67565.2941635295,67933.68659719752,67542.72901304823,67783.37667743483,67783.12560141979,67923.94957995956
16447.270874023438,16449.906616210938,16260.337768554688,16572.625,16474.854370117188,16798.532592773438,16378.030639648438,16526.181396484375,16538.167236328125,16479.311767578125,16455.090087890625,16450.072387695312,16651.685180664062,16551.556396484375,16644.033935546875,16207.890625,16806.609985351562,16605.15478515625,16827.947631835938,16724.132934570312,16212.29489113473,16334.41096907496,16000.884758684228,16251.876592974699,16119.909064746036,16156.108585795024,16028.86767626645,16129.438414742846,16200.355015825306,16210.101646508156,16008.718635891131,16067.440484219267,16209.016551846667,16228.265490062113,16143.937665592606,16119.855277012026,16151.93902103317,16253.174640729994,16442.043978614005,16131.967411693531,67147.84045410156,65977.7890625,67217.04275512695,67078.07409667969,66921.44189453125,68053.9800415039,67901.60192871094,67256.11853027344,67295.95977783203,67260.57849121094,67751.43280029297,66994.09997558594,67903.72790527344,66789.85223388672,67371.26141357422,66297.94445800781,67549.46875,66929.27392578125,67142.67907714844,68147.01306152344,64896.25724906941,64691.58699763131,64893.68124458738,64939.60923240165,64679.763448539496,64766.28084122521,64975.45584495936,64529.09785532915,64710.12030762084,64975.375699670076,65101.70275544289,64457.600569492424,64865.87323801602,64640.975839318184,64389.04765316768,64782.86302208495,64509.319975155806,64751.111324672755,64772.76718478996,64805.79616288736
16372.634033203125,16446.115356445312,16214.889526367188,16538.943237304688,16476.928955078125,16781.128540039062,16302.271606445312,16465.684692382812,16473.090698242188,16362.24072265625,16318.775146484375,16366.6416015625,16522.27099609375,16475.787353515625,16560.277709960938,16144.683349609375,16585.877685546875,16541.384643554688,16817.9189453125,16714.120727539062,15884.426632483306,15998.034511736252,15684.290078791684,15969.744028757177,15819.364930241869,15860.42239513836,15683.534426932889,15813.914534279102,15868.208793351681,15881.38467987817,15693.116252269736,15721.336163666261,15964.330353160349,15944.95460944797,15836.84061443462,15821.190126090118,15830.928380409416,15930.788877447854,16149.337220063593,15856.195725823702,66731.17303466797,65709.69409179688,67035.47729492188,66866.41284179688,66754.26193237305,67996.05172729492,67628.63244628906,66913.71569824219,67003.13623046875,67022.52447509766,67281.76818847656,66520.60321044922,67448.11706542969,66459.30773925781,67247.92321777344,65999.44305419922,67033.38073730469,66695.3828125,66971.77099609375,68061.28564453125,63611.70781880674,63421.36889980336,63622.735094067524,63754.17752623868,63446.03088345638,63455.46686873154,63746.58579844868,63214.70928873979,63455.858601752945,63680.29779360006,63841.35559921625,63145.236140707624,63661.0392514596,63325.160515606985,63176.43996290317,63598.990750960846,63239.05997017879,63479.23602092477,63551.59020603411,63585.35579521177
16352.091186523438,16374.823852539062,16186.322143554688,16475.37451171875,16421.580932617188,16781.708862304688,16253.16748046875,16392.663452148438,16478.43115234375,16294.0869140625,16282.026000976562,16279.660034179688,16486.235229492188,16446.1484375,16678.841064453125,16102.732788085938,16482.942626953125,16547.287231445312,16790.312377929688,16730.428344726562,15866.80528742716,15983.560052362629,15662.64685280919,15949.497361554411,15800.388324975978,15844.317599072449,15666.056246362157,15794.989975912134,15850.28139533028,15866.022775364,15679.53942691248,15704.307047374365,15944.131324085025,15926.228991829215,15829.978505891242,15808.009535846315,15813.680518244722,15916.530130049909,16130.805973006627,15843.592558539698,66632.3671875,65465.43298339844,66871.00173950195,66802.92681884766,66507.18463134766,67859.76531982422,67345.00439453125,66631.63137817383,66889.58422851562,66706.72375488281,67140.79461669922,66150.7484741211,67131.1904296875,66341.8125,66796.27697753906,65587.74951171875,66598.46643066406,66554.49572753906,66876.95153808594,68008.22875976562,63553.167471520544,63359.53649076953,63566.09902312845,63671.42214680873,63377.62526444018,63395.562211431665,63685.33015884417,63152.03785035103,63388.10857599029,63620.934718092445,63790.18345164583,63076.73506724005,63595.55203068793,63276.88805275227,63111.704871784415,63530.20792862579,63179.31019977064,63422.572176538124,63490.024292979935,63524.87140573378
16283.9736328125,16301.280883789062,16143.926025390625,16448.069580078125,16384.412719726562,16776.013793945312,16169.033447265625,16332.87646484375,16420.2783203125,16231.794311523438,16271.653930664062,16244.983642578125,16453.508911132812,16485.293334960938,16437.722045898438,16089.41455078125,16456.933349609375,16568.984130859375,16808.277709960938,16748.4541015625,15859.027287385996,15977.546150342308,15645.317356957603,15937.649461775436,15789.736647537951,15835.893074638689,15656.967318158408,15784.587661958116,15850.79072434719,15862.329885243724,15672.736958713724,15698.211280671341,15936.926811659925,15912.603765557084,15823.63776647861,15806.109720073777,15809.856698888445,15907.596171297388,16128.518652468098,15841.964112033325,66241.21435546875,65246.265197753906,66729.30615234375,66628.84387207031,66347.92727661133,67672.60800170898,67221.88586425781,66447.26400756836,66746.62280273438,66436.35369873047,67000.47302246094,65928.0986328125,66906.51348876953,66309.56744384766,66774.84020996094,65562.18127441406,66245.89239501953,66404.19860839844,66807.76281738281,67917.77221679688,63530.269716991636,63334.08671841066,63544.60796082307,63639.11307885338,63349.42902427241,63371.6967811239,63663.34841630134,63127.33405602255,63361.29626923416,63599.511158989335,63770.29675344632,63050.30883110283,63568.22874878078,63253.67375186962,63082.53985010847,63501.51374300843,63151.862084542925,63399.23569522673,63464.70502323149,63498.75087940456
16245.369384765625,16307.802978515625,16126.743286132812,16459.551025390625,16367.857299804688,16810.658935546875,16174.549072265625,16348.778076171875,16413.19970703125,16181.931762695312,16254.962158203125,16229.5791015625,16409.059814453125,16419.677612304688,16410.273681640625,16095.605590820312,16456.480712890625,16463.8046875,16750.53466796875,16731.37890625,15856.894388911847,15977.233352070361,15644.80516414465,15936.369333508683,15789.051271245757,15836.002771569521,15655.252930047285,15783.013594545228,15848.256634346642,15859.84785741207,15671.396728661994,15697.007379247902,15935.630652915443,15912.71481932152,15824.413852873315,15805.971695548924,15806.987093861779,15908.349016581198,16125.088574850473,15840.545829793991,66010.5884399414,65126.32653808594,66608.30139160156,66576.30053710938,66275.95989990234,67631.99224853516,67129.72137451172,66274.12225341797,66607.98327636719,66116.90243530273,66918.55310058594,65875.23620605469,66655.47241210938,66207.32385253906,66356.89770507812,65379.99951171875,66135.36016845703,66348.88970947266,66609.51879882812,67860.81817626953,63526.13980340517,63329.77503587282,63539.86819087246,63636.0259791598,63346.54239065149,63366.90150504351,63659.53087980661,63122.29894035257,63358.025524147066,63594.94676653776,63767.15240312638,63044.659968960346,63565.59694323469,63253.02556195039,63079.84475494537,63499.012868771824,63147.31853258186,63395.53250778207,63460.31254577341,63496.21486129282
16218.326904296875,16268.643310546875,16157.435424804688,16400.84130859375,16334.31103515625,16745.960205078125,16112.39111328125,16340.614501953125,16372.671752929688,16137.06201171875,16218.064697265625,16174.072998046875,16393.041015625,16395.145751953125,16414.785278320312,16100.536987304688,16363.6533203125,16362.424926757812,16693.919189453125,16705.51171875,15856.837661873917,15977.03530081825,15644.580689872262,15936.058520550423,15788.584757470975,15835.941976628586,15654.601605943879,15783.03875457693,15847.862759875889,15859.765010614321,15671.141488197445,15696.626515710574,15935.581794993157,15912.751939256088,15823.792543932665,15805.34532993401,15807.380511585587,15908.080683286078,16125.667729705252,15840.253730381457,65880.31713867188,64989.777404785156,66573.56079101562,66424.90740966797,66142.75109863281,67591.96301269531,66861.11059570312,66299.98895263672,66441.6040649414,66130.51718139648,66810.02258300781,65676.34924316406,66528.91729736328,66079.07482910156,66320.3978881836,65418.95007324219,66066.16296386719,66329.03759765625,66584.47631835938,67792.62109375,63525.360533355924,63328.93515043692,63538.798292853695,63634.49162696066,63345.26947562012,63365.93608300481,63658.836385005285,63121.16302286458,63356.9488091668,63594.05467948635,63766.5425671685,63043.526124956086,63564.6512377813,63250.801592737655,63079.09946705748,63497.726509931876,63146.40498600761,63394.82865319659,63459.466995021045,63495.43503250506
16214.560546875,16247.304321289062,16067.138671875,16373.140625,16284.674194335938,16756.69775390625,16116.114501953125,16317.996948242188,16338.546142578125,16115.7431640625,16171.987670898438,16111.063720703125,16324.424194335938,16410.517700195312,16286.569946289062,16141.354125976562,16416.988037109375,16335.431274414062,16638.251586914062,16687.94970703125,15856.956972079726,15977.349712862455,15643.956193194697,15936.212954406914,15788.363384742344,15835.993106474712,15653.416111241826,15782.961942172624,15847.990673324744,15859.61518074623,15670.684189326788,15696.396712819698,15935.507405289398,15912.985646003224,15823.05201731877,15804.942968352887,15807.890145862913,15908.005897468958,16126.78370342893,15840.032044047548,65723.28149414062,64889.40234375,66336.58038330078,66369.33020019531,65898.0673828125,67493.95318603516,66784.08520507812,66219.32727050781,66374.73596191406,65967.23461914062,66583.1390991211,65626.1904296875,66377.40155029297,66066.12902832031,66146.12524414062,65271.26544189453,65918.91796875,66083.69885253906,66479.48071289062,67698.61401367188,63524.74319699891,63328.30272559203,63538.30795841404,63634.29969765727,63344.9395141907,63365.367290138616,63658.2633249245,63120.58355912233,63356.41239968333,63593.44974712047,63766.2244377075,63042.764496760065,63564.24262346357,63250.511374657755,63078.6177381018,63497.63059174396,63145.8878810382,63394.31529952909,63458.87328830255,63495.048748682224
16202.660400390625,16230.5068359375,16065.4814453125,16364.310791015625,16257.809814453125,16738.0185546875,16095.168823242188,16276.763671875,16321.331176757812,16096.653076171875,16124.62939453125,16116.533447265625,16294.060546875,16354.034912109375,16255.258666992188,16130.299072265625,16384.936645507812,16315.831909179688,16602.119384765625,16682.00341796875,15857.105576661721,15977.62713487959,15643.504872471742,15936.262507108391,15788.32604846939,15835.918820828378,15653.234837172184,15782.849984697476,15848.11653568151,15859.473095975802,15670.263844267349,15696.38037403066,15935.431870976714,15913.363650520037,15822.852961057968,15804.860049208397,15808.079936110993,15908.105583401171,16127.128676493026,15839.937162848397,65604.0712890625,64783.68225097656,66373.7308959961,66277.75817871094,65746.82482910156,67461.90661621094,66759.95617675781,66067.99737548828,66241.09606933594,65844.00119018555,66539.17333984375,65475.11071777344,66358.40234375,65957.2894897461,65990.43841552734,65178.91943359375,65978.04736328125,66044.25451660156,66160.76953125,67565.03125,63524.68076138676,63328.22952060943,63538.12462315007,63634.28964927522,63344.91926253043,63365.18911213325,63658.20361349374,63120.36078072974,63356.38544361813,63593.31331648203,63766.09348614494,63042.61767554714,63564.213647432975,63250.29293003354,63078.5900696161,63497.622545371116,63145.73274350383,63394.21995669647,63458.787863351085,63495.02216929763
